nom_commune;latitude;longitude
Bertaucourt-Epourdon;49.616667;3.383333
Bertricourt;49.383333;4
Besny-et-Loizy;49.6;3.583333
Bièvres;49.5;3.716667
Bois-lès-Pargny;49.716667;3.65
Boncourt;49.616667;3.95
Bouconville-Vauclair;;
Bouffignereux;49.366667;3.85
Bourg-et-Comin;49.4;3.65
Bourguignon-sous-Montbavin;;
Brancourt-en-Laonnois;49.516667;3.416667
Braye-en-Laonnois;49.433333;3.616667
Brie;;
Brunehamel;49.766667;4.183333
Bruyères-et-Montbérault;49.516667;3.666667
Bucy-lès-Cerny;49.583333;3.516667
Bucy-lès-Pierrepont;49.65;3.9
Cerny-en-Laonnois;49.45;3.666667
Cerny-lès-Bucy;49.583333;3.533333
Cessières;49.566667;3.483333
Chaillevois;49.516667;3.516667
Chalandry;49.683333;3.633333
Chambry;49.6;3.65
Chamouille;49.466667;3.666667
Chaourse;49.7;4
Charmes;49.65;3.383333
Chaudardes;49.383333;3.783333
Chérêt;49.516667;3.683333
Chermizy-Ailles;49.466667;3.733333
Chéry-lès-Pouilly;49.65;3.6
Chéry-lès-Rozoy;49.716667;4.083333
Chevregny;49.466667;3.583333
Chivres-en-Laonnois;49.633333;3.85
Chivy-lès-Etouvelles;49.516667;3.583333
Clacy-et-Thierret;49.55;3.566667
Clermont-les-Fermes;49.666667;3.95
Colligis-Crandelain;49.483333;3.65
Concevreux;49.383333;3.783333
Condé-sur-Suippe;49.416667;3.95
Corbeny;49.466667;3.816667
Coucy-lès-Eppes;49.55;3.766667
Courbes;49.683333;3.45
Courtrizy-et-Fussigny;49.516667;3.8
Couvron-et-Aumencourt;49.65;3.516667
Craonne;49.433333;3.783333
Craonnelle;49.433333;3.766667
Crécy-sur-Serre;49.7;3.616667
Crépy;;
Cuiry-lès-Chaudardes;49.383333;3.766667
Cuiry-lès-Iviers;;
Cuissy-et-Geny;49.416667;3.7
Dagny-Lambercy;49.766667;4.033333
Danizy;49.65;3.383333
Dercy;49.7;3.683333
Deuillet;49.633333;3.35
Dizy-le-Gros;49.633333;4.016667
Dohis;49.75;4.133333
Dolignon;49.716667;4.083333
Ebouleau;49.666667;3.866667
Eppes;49.55;3.733333
Etouvelles;49.533333;3.583333
Evergnicourt;49.433333;4.033333
Faucoucourt;49.533333;3.466667
Festieux;49.516667;3.75
Fourdrain;49.6;3.466667
Fressancourt;49.616667;3.416667
